视频认证,失败次数,投标人数,第一次成功借款时间,待还金额,标的等级,征信认证,代收金额,借款成功次数,逾期（1-15）还清次数,剩余可投金额,毕业院校,标编号,末笔投资时间,正常还清次数,学历认证,首次投资时间,借款人用户名,截止时间,逾期（15天以上）还清次数,学习形式,剩余待还本金,利率,流标次数,性别,年龄,期限,注册时间,撤标次数,借款金额,手机认证,学籍认证,户籍认证,成交日期,学历
0,0,28,,0,AA,0,0,0,0,1935,,41608258,2017-04-08T22:57:54.95,0,0,2017-04-08T22:31:25.71,pdu4334177370,19天23时21分,0,,0,10,0,1,34,3,2017-04-08T22:00:05,0,4000,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,1559,,41608503,2017-04-08T22:56:41.81,0,0,2017-04-08T22:52:24.537,pdu2710645227,19天23时24分,0,,0,10,0,2,28,3,2017-04-06T19:56:34,0,2000,1,0,0,2000-01-01T00:00:00,
0,0,8,,0,AA,0,0,0,0,3030,,41609147,2017-04-08T22:56:54.23,0,0,2017-04-08T22:42:05.38,pdu4755415265,19天23时29分,0,,0,10,0,1,30,3,2016-10-11T12:27:28,0,3500,1,0,0,2000-01-01T00:00:00,
0,0,8,,0,AA,0,0,0,0,1380,,41607387,2017-04-08T22:56:39.59,0,0,2017-04-08T22:41:17.58,pdu3110374126,19天23时10分,0,,0,10,0,1,30,3,2017-01-13T23:42:45,0,1800,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,1450,,41608533,2017-04-08T22:56:48.673,0,0,2017-04-08T22:50:55.953,pdu2026245240,19天23时24分,0,,0,10,0,1,32,3,2017-04-07T14:41:50,0,1800,1,0,0,2000-01-01T00:00:00,
0,0,7,,0,AA,0,0,0,0,3100,,41610402,2017-04-08T22:56:55.947,0,0,2017-04-08T22:50:57.22,pdu3107014000,19天23时43分,0,,0,10,0,2,21,3,2016-09-05T00:42:21,0,3500,1,0,0,2000-01-01T00:00:00,
0,0,5,,0,AA,0,0,0,0,1220,,41608410,2017-04-08T22:56:49.39,0,0,2017-04-08T22:52:28.627,pdu0668364352,19天23时23分,0,,0,10,0,1,26,3,2016-06-23T13:25:31,0,1500,1,0,0,2000-01-01T00:00:00,
0,0,6,2016-10-11T15:06:10.563,1300,AA,0,0,3,0,1155,,41608433,2017-04-08T22:56:41.133,5,0,2017-04-08T22:50:57.94,pdu15487878,19天23时23分,0,,1300,10,2,1,42,3,2015-11-07T13:05:42,0,1505,1,0,0,2000-01-01T00:00:00,
0,0,7,2017-01-17T19:28:50.47,1858,AA,0,0,6,0,1080,,41607986,2017-04-08T22:56:34.14,11,0,2017-04-08T22:42:14.84,pdu0164508662,19天23时17分,0,,1858,10,1,1,23,3,2016-09-14T04:25:10,0,1500,1,0,0,2000-01-01T00:00:00,
0,0,9,,0,AA,0,0,0,0,2512,,41608671,2017-04-08T22:56:50.857,0,0,2017-04-08T22:33:06.297,pdu6328660785,19天23时26分,0,,0,10,1,1,24,3,2016-09-26T06:31:06,0,3000,1,0,0,2000-01-01T00:00:00,
0,0,10,,0,AA,0,0,0,0,1980,,41608238,2017-04-08T22:56:43.363,0,0,2017-04-08T22:31:27.217,pdu3883134817,19天23时21分,0,,0,10,1,2,29,3,2016-08-22T19:01:06,0,2500,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,1650,,41609955,2017-04-08T22:56:50.117,0,0,2017-04-08T22:50:58.817,pdu5128117116,19天23时38分,0,,0,10,0,1,21,3,2017-02-17T18:32:39,0,2000,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,1750,,41610272,2017-04-08T22:56:52.263,0,0,2017-04-08T22:51:01.44,pdu5062553881,19天23时41分,0,,0,10,1,1,24,3,2016-10-09T00:15:20,0,2100,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,1400,,41610052,2017-04-08T22:56:46.157,0,0,2017-04-08T22:51:02.157,pdu5000802777,19天23时39分,0,,0,10,0,1,22,3,2016-03-10T11:09:37,0,1750,1,0,0,2000-01-01T00:00:00,
0,0,8,,0,AA,0,0,0,0,1530,,41609616,2017-04-08T22:56:37.953,0,0,2017-04-08T22:42:16.527,pdu1670647342,19天23时33分,0,,0,10,0,2,30,3,2017-03-01T16:10:28,0,2000,1,0,0,2000-01-01T00:00:00,
0,0,8,2017-04-04T11:04:26.797,650,AA,0,0,1,0,1080,,41608415,2017-04-08T22:56:34.76,1,0,2017-04-08T22:33:10.047,pdu2060553117,19天23时23分,0,,650,10,0,1,29,3,2017-03-05T22:47:15,0,1500,1,0,0,2000-01-01T00:00:00,
0,0,8,,0,AA,0,0,0,0,1080,,41608416,2017-04-08T22:56:35.543,0,0,2017-04-08T22:33:10.9,pdu6286325512,19天23时23分,0,,0,10,1,1,24,3,2016-10-03T14:26:48,0,1500,1,0,0,2000-01-01T00:00:00,
0,0,7,,0,AA,0,0,0,0,810,,41609433,2017-04-08T22:56:31.513,0,0,2017-04-08T22:42:17.29,pdu72065075,19天23时31分,0,,0,10,2,1,23,3,2015-10-19T13:58:27,0,1250,1,0,0,2000-01-01T00:00:00,
0,0,8,,0,AA,0,0,0,0,1030,,41609858,2017-04-08T22:57:36.337,0,0,2017-04-08T22:42:19.007,pdu0442327834,19天23时36分,0,,0,10,0,1,28,3,2017-04-07T15:02:14,0,1500,1,0,0,2000-01-01T00:00:00,
0,0,8,2017-03-31T17:29:20.893,400,AA,0,0,2,0,580,,41610120,2017-04-08T22:57:55.763,2,0,2017-04-08T22:51:02.843,pdu1310815421,19天23时40分,0,,400,10,1,1,24,3,2016-05-27T22:57:42,0,1000,1,0,0,2000-01-01T00:00:00,
0,0,8,,0,AA,0,0,0,0,580,,41610205,2017-04-08T22:57:57.487,0,0,2017-04-08T22:51:03.62,pdu8267381858,19天23时40分,0,,0,10,0,1,27,3,2016-12-03T08:56:21,0,1000,1,0,0,2000-01-01T00:00:00,
0,0,8,,0,AA,0,0,0,0,580,,41610395,2017-04-08T22:57:58.34,0,0,2017-04-08T22:51:05.01,pdu7615230312,19天23时43分,0,,0,10,0,1,23,3,2017-01-13T02:11:24,0,1000,1,0,0,2000-01-01T00:00:00,
0,0,5,,0,AA,0,0,0,0,680,,41610506,2017-04-08T22:58:02.927,0,0,2017-04-08T22:51:06.75,pdu6774887174,19天23时44分,0,,0,10,0,1,29,3,2017-03-03T00:32:45,0,1000,1,0,0,2000-01-01T00:00:00,
0,0,5,,0,AA,0,0,0,0,680,,41610459,2017-04-08T22:58:03.637,0,0,2017-04-08T22:51:07.35,pdu5177881527,19天23时44分,0,,0,10,0,1,25,3,2017-03-12T20:50:23,0,1000,1,0,0,2000-01-01T00:00:00,
0,1,6,,0,AA,0,0,0,0,1770,,41609797,2017-04-08T22:56:52.94,0,0,2017-04-08T22:52:30.77,zhaoyinlon,19天23时35分,0,,0,10,2,1,30,3,2014-04-19T14:14:16,1,2100,1,0,0,2000-01-01T00:00:00,
0,0,5,,0,AA,0,0,0,0,720,,41608199,2017-04-08T22:56:37.173,0,0,2017-04-08T22:52:31.533,pdu3338163647,19天23时20分,0,,0,10,0,1,24,3,2017-01-23T12:09:57,0,1000,1,0,0,2000-01-01T00:00:00,
