videovalidate,failedcount,lendercount,firstsuccessborrowtime,owingamount,creditcode,creditvalidate,amounttoreceive,successcount,overduelesscount,remainfunding,graduateschool,listingid,lastbidtime,normalcount,certificatevalidate,fistbidtime,borrowname,deadlinetimeorremindtimestr,overduemorecount,studystyle,owingprincipal,currentrate,wastecount,gender,age,months,registertime,cancelcount,amount,phonevalidate,educatevalidate,nciicidentitycheck,auditingtime,educationdegree
0,0,312,2015-08-02T19:11:05.61,308509.7800,AAA,0,1169197.9400,230,1,26179.0000,集美大学,41136122,2017-04-08T23:27:52.783,890,1,2017-04-07T09:55:30.31,xhy1222,1天20时39分,0,普通,302187.5800,7,5,1,31,12,2013-12-14T16:33:47,12,50000.0000,1,0,0,2000-01-01T00:00:00,本科
0,0,264,2015-08-07T19:46:58.967,347615.1300,AAA,0,1396747.6800,110,1,29874.0000,华北水利水电大学,41145052,2017-04-08T22:56:20.787,285,1,2017-04-07T09:58:42.633,Bin_Wu,1天22时02分,0,成人,340515.1500,7.01,0,1,28,12,2013-02-19T15:35:01,52,50000.0000,1,0,0,2000-01-01T00:00:00,专升本
0,0,210,2017-03-25T19:09:53.573,70778.3400,AAA,0,250244.7400,9,0,33308.0000,,41145203,2017-04-08T23:06:12.363,1,0,2017-04-07T09:58:44.047,pdu1200501182,1天22时04分,0,,68193.0700,7,0,1,33,12,2016-06-13T20:39:22,1,50000.0000,1,0,0,2000-01-01T00:00:00,
0,0,224,2015-04-23T23:53:35.817,207614.9400,AAA,0,579756.9100,226,0,32142.0000,,41148289,2017-04-08T22:56:23.247,590,0,2017-04-07T10:00:51.49,aiyehui,1天22时34分,0,,203692.6900,7,0,2,45,12,2014-06-25T12:42:39,46,50000.0000,1,0,0,2000-01-01T00:00:00,
0,1,228,2016-01-10T17:37:56.11,33243.2000,AAA,0,649750.6100,55,1,32292.0000,华南师范大学增城学院,41153903,2017-04-08T22:56:25.247,206,1,2017-04-07T10:03:58.367,hongji90,1天23时38分,0,普通,32582.3900,7.01,6,1,27,12,2013-06-16T23:52:51,6,50000.0000,1,0,1,2000-01-01T00:00:00,本科
0,0,12,,0,AA,0,0,0,0,1465.0000,,41613085,2017-04-08T23:38:25.45,0,0,2017-04-08T23:33:12.677,pdu3744172758,9天23时30分,0,,0,10,0,1,27,3,2017-04-08T23:04:43,0,3400.0000,1,0,0,2000-01-01T00:00:00,
0,0,1,2016-03-21T19:06:33.523,5516.1700,AA,0,0,4,0,3949.0000,,41614391,2017-04-08T23:37:29.097,26,0,2017-04-08T23:37:29.097,tym606751,14天23时48分,0,,5287.4500,10,2,1,37,3,2014-08-08T16:48:14,0,4002.0000,1,0,0,2000-01-01T00:00:00,
0,0,4,2016-07-17T17:17:53.493,1838.0700,AA,0,0,2,0,1602.0000,,41614753,2017-04-08T23:36:51.917,9,0,2017-04-08T23:33:23.773,pdu5431772822,14天23时50分,0,,1615.1900,10,2,1,31,3,2016-02-01T09:31:27,0,1884.0000,1,0,0,2000-01-01T00:00:00,
0,0,9,2016-09-28T08:31:05.5,7472.3000,AA,0,0,4,4,868.0000,,41613893,2017-04-08T23:38:27.897,6,0,2017-04-08T23:24:01.38,pdu3225826063,14天23时43分,0,,7161.0500,10,0,1,40,3,2016-08-18T22:34:11,0,1518.0000,1,0,0,2000-01-01T00:00:00,
0,0,4,2016-04-03T07:38:49.073,301.3800,AA,0,0,1,6,1200.0000,,41614741,2017-04-08T23:38:38.597,5,0,2017-04-08T23:30:41.68,pdu8507430757,14天23时50分,0,,292.6200,10,0,1,26,3,2016-04-03T07:38:04,0,1500.0000,1,0,0,2000-01-01T00:00:00,
0,0,41,2017-03-19T22:13:27.777,1000.0000,AA,0,0,3,0,5166.0000,中国海洋大学,41611987,2017-04-08T23:38:28.547,5,1,2017-04-08T23:11:28.4,pdu0367253674,19天23时19分,0,成人,1000.0000,10,0,1,24,3,2017-03-19T21:53:42,0,10000.0000,1,0,0,2000-01-01T00:00:00,本科
