videovalidate,failedcount,lendercount,firstsuccessborrowtime,owingamount,creditcode,creditvalidate,amounttoreceive,successcount,overduelesscount,remainfunding,graduateschool,listingid,lastbidtime,normalcount,certificatevalidate,fistbidtime,borrowname,deadlinetimeorremindtimestr,overduemorecount,studystyle,owingprincipal,currentrate,wastecount,gender,age,months,registertime,cancelcount,amount,phonevalidate,educatevalidate,nciicidentitycheck,auditingtime,educationdegree
0,0,549,2015-08-07T19:46:58.967,339110.8400,AAA,0,1392112.1800,110,1,10592.0000,华北水利水电大学,41145052,2017-04-09T10:46:09.603,286,1,2017-04-07T09:58:42.633,Bin_Wu,1天10时49分,0,成人,332302.5200,7.01,0,1,28,12,2013-02-19T15:35:01,52,50000.0000,1,0,0,2000-01-01T00:00:00,专升本
0,0,283,2017-03-25T19:09:53.573,70778.3400,AAA,0,249273.1200,9,0,28828.0000,,41145203,2017-04-09T10:41:15.673,1,0,2017-04-07T09:58:44.047,pdu1200501182,1天10时51分,0,,68193.0700,7,0,1,33,12,2016-06-13T20:39:22,1,50000.0000,1,0,0,2000-01-01T00:00:00,
0,0,316,2015-04-23T23:53:35.817,207614.9400,AAA,0,577458.3600,226,0,25988.0000,,41148289,2017-04-09T10:42:01.817,590,0,2017-04-07T10:00:51.49,aiyehui,1天11时21分,0,,203692.6900,7,0,2,45,12,2014-06-25T12:42:39,46,50000.0000,1,0,0,2000-01-01T00:00:00,
0,1,448,2016-01-10T17:37:56.11,33243.2000,AAA,0,645623.5400,55,1,4609.0000,华南师范大学增城学院,41153903,2017-04-09T10:50:38.71,206,1,2017-04-07T10:03:58.367,hongji90,1天12时25分,0,普通,32582.3900,7.01,6,1,27,12,2013-06-16T23:52:51,6,50000.0000,1,0,1,2000-01-01T00:00:00,本科
0,0,6,,0,AA,0,0,0,0,1830.0000,,41618166,2017-04-09T10:51:46.09,0,0,2017-04-09T10:50:42.723,pdu2742635421,9天13时20分,0,,0,10,1,1,24,3,2016-06-09T10:37:42,0,2500.0000,1,0,0,2000-01-01T00:00:00,
0,0,118,2015-07-10T22:52:42.463,5806.7600,A,1,245.6800,5,0,864.0000,昆明医学院,41656045,2017-04-09T10:51:47.407,27,1,2017-04-09T10:49:32.57,pdu60382208,14天23时49分,0,成人,5618.2600,16,0,1,40,12,2015-07-10T22:48:22,0,10000.0000,1,0,0,2000-01-01T00:00:00,专升本
0,0,69,2016-07-18T15:19:34.577,7448.2200,B,0,0,10,0,0.0000,江西农业工程职业学院,41657333,2017-04-09T10:51:45.103,33,1,2017-04-09T10:51:42.28,pdu8423820235,14天23时57分,0,普通,7048.8200,18,0,2,27,12,2016-07-18T15:16:44,0,5001.0000,1,0,0,2000-01-01T00:00:00,专科
0,0,37,2016-01-27T15:58:46.56,8548.0500,C,0,0,6,0,0.0000,中央广播电视大学,41657000,2017-04-09T10:51:40.487,21,1,2017-04-09T10:51:37.7,pdu2056718338,2017/4/9,0,成人,7881.3600,20,0,1,33,12,2016-01-27T15:56:28,0,3619.0000,1,0,0,2017-04-09T10:51:46.987,专科
0,0,1,2016-05-03T13:07:56.2,14614.1500,C,0,0,3,0,0.0000,河北能源职业技术学院,41657271,2017-04-09T10:51:47.817,16,1,2017-04-09T10:51:44.467,pdu7102332785,2017/4/9,0,普通,13515.9800,20,0,1,26,6,2016-05-03T13:07:12,0,3252.0000,1,0,0,2017-04-09T10:51:48.513,专科
0,0,18,2015-12-13T01:50:42.953,13365.8600,C,1,0,10,3,0.0000,贵州大学,41657321,2017-04-09T10:51:47.95,35,1,2017-04-09T10:51:40.75,pdu0055346881,14天23时57分,0,普通,12853.9000,20,0,2,24,6,2015-12-13T01:49:57,0,2713.0000,1,0,0,2000-01-01T00:00:00,本科
