videovalidate,failedcount,lendercount,firstsuccessborrowtime,owingamount,creditcode,creditvalidate,amounttoreceive,successcount,overduelesscount,remainfunding,graduateschool,listingid,lastbidtime,normalcount,certificatevalidate,fistbidtime,borrowname,deadlinetimeorremindtimestr,overduemorecount,studystyle,owingprincipal,currentrate,wastecount,gender,age,months,registertime,cancelcount,amount,phonevalidate,educatevalidate,nciicidentitycheck,auditingtime,educationdegree
0,0,644,2015-08-07T19:46:58.967,335709.3000,AAA,0,1392112.1800,110,1,4601.0000,华北水利水电大学,41145052,2017-04-09T12:57:01.46,287,1,2017-04-07T09:58:42.633,Bin_Wu,1天08时43分,0,成人,329017.6400,7.01,0,1,28,12,2013-02-19T15:35:01,52,50000.0000,1,0,0,2000-01-01T00:00:00,专升本
0,0,290,2017-03-25T19:09:53.573,70778.3400,AAA,0,249273.1200,9,0,28456.0000,,41145203,2017-04-09T12:44:31.323,1,0,2017-04-07T09:58:44.047,pdu1200501182,1天08时44分,0,,68193.0700,7,0,1,33,12,2016-06-13T20:39:22,1,50000.0000,1,0,0,2000-01-01T00:00:00,
0,0,326,2015-04-23T23:53:35.817,207614.9400,AAA,0,577458.3600,226,0,25188.0000,,41148289,2017-04-09T12:56:51.53,590,0,2017-04-07T10:00:51.49,aiyehui,1天09时14分,0,,203692.6900,7,0,2,45,12,2014-06-25T12:42:39,46,50000.0000,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,1479.0000,,41672907,2017-04-09T12:58:19.997,0,0,2017-04-09T12:55:55.123,pdu4058716620,9天23时38分,0,,0,10,0,1,40,3,2017-04-08T15:27:44,0,3700.0000,1,0,0,2000-01-01T00:00:00,
0,0,89,2016-06-26T08:41:40.293,4945.1500,A,0,0,3,0,6242.0000,中央广播电视大学,41675141,2017-04-09T12:58:24.84,16,1,2017-04-09T12:53:36.47,pdu0102466030,14天23时53分,0,业余,4785.9400,16,0,2,35,12,2016-06-26T08:39:51,0,13200.0000,1,0,0,2000-01-01T00:00:00,本科
0,0,6,,0,AA,0,0,0,0,498.0000,,41673522,2017-04-09T12:58:03.567,0,0,2017-04-09T12:58:02.677,pdu4130313787,2000/1/1,0,,0,13,0,1,33,15,2017-04-09T12:17:19,0,3498.0000,1,0,0,2000-01-01T00:00:00,
0,0,1,2016-10-25T09:13:20.717,3369.3600,AA,0,0,3,1,2500.0000,,41675775,2017-04-09T12:57:09.907,23,0,2017-04-09T12:57:09.907,pdu6356153176,14天23时58分,0,,3000.0000,10,0,1,35,3,2016-10-21T11:28:07,1,3000.0000,1,0,0,2000-01-01T00:00:00,
0,0,32,,0,AA,0,0,0,0,6588.0000,,41664469,2017-04-09T12:57:13.2,0,0,2017-04-09T11:50:25.11,pdu8528863765,19天22时40分,0,,0,10,0,1,39,3,2016-04-22T12:09:14,0,9500.0000,1,0,0,2000-01-01T00:00:00,
0,0,7,,0,AA,0,0,0,0,4676.0000,中央广播电视大学,41674100,2017-04-09T12:55:24.44,0,1,2017-04-09T12:52:29.83,pdu4358033250,19天23时47分,0,成人,0,10,0,2,53,3,2017-04-02T20:44:10,0,5500.0000,1,0,0,2000-01-01T00:00:00,专科
0,0,6,,0,AA,0,0,0,0,3594.0000,哈尔滨师范大学,41672843,2017-04-09T12:56:12.227,0,1,2017-04-09T12:51:52.74,pdu6826677381,19天23时37分,0,自考,0,10,0,2,28,3,2017-03-11T16:21:12,0,4500.0000,1,0,0,2000-01-01T00:00:00,本科
0,0,12,,0,AA,0,0,0,0,2698.0000,四川广播电视大学,41670546,2017-04-09T12:55:26.36,0,1,2017-04-09T12:31:47.81,pdu6242732266,19天23时21分,0,成人,0,10,0,1,26,3,2017-04-07T02:05:46,0,4000.0000,1,0,0,2000-01-01T00:00:00,专科
