videovalidate,failedcount,lendercount,firstsuccessborrowtime,owingamount,creditcode,creditvalidate,amounttoreceive,successcount,overduelesscount,remainfunding,graduateschool,listingid,lastbidtime,normalcount,certificatevalidate,fistbidtime,borrowname,deadlinetimeorremindtimestr,overduemorecount,studystyle,owingprincipal,currentrate,wastecount,gender,age,months,registertime,cancelcount,amount,phonevalidate,educatevalidate,nciicidentitycheck,auditingtime,educationdegree
0,0,16,2017-01-31T19:20:45.377,1781.0000,AA,0,0,9,0,4836.0000,,41670273,2017-04-09T13:00:30.337,16,0,2017-04-09T12:31:27.917,pdu1818070077,19天23时15分,0,,1781.0000,10,2,1,27,3,2016-01-12T07:56:03,0,6500.0000,1,0,0,2000-01-01T00:00:00,
0,0,9,,0,AA,0,0,0,0,3068.0000,,41667787,2017-04-09T13:00:08.833,0,0,2017-04-09T12:33:08.447,pdu2260856100,19天22时58分,0,,0,10,0,1,23,3,2017-04-03T01:42:02,0,4000.0000,1,0,0,2000-01-01T00:00:00,
0,0,8,2016-09-05T23:43:26.903,6051.5800,C,1,0,3,0,0.0000,,41675120,2017-04-09T13:02:28.27,11,0,2017-04-09T13:02:27.11,pdu3476515682,2017/4/9,0,,5679.0900,20,0,1,25,6,2016-09-05T21:05:53,1,3240.0000,1,0,0,2017-04-09T13:02:28.84,
0,0,1,,0,AA,0,0,0,0,0.0000,,41675118,2017-04-09T13:02:31.047,0,0,2017-04-09T13:02:31.047,pdu1761052645,2017/4/9,0,,0,11,0,1,21,6,2017-04-05T16:28:28,0,2750.0000,1,0,0,2017-04-09T13:02:31.45,
0,0,3,,0,AA,0,0,0,0,820.0000,邯郸职业技术学院,41675112,2017-04-09T13:01:47.08,0,1,2017-04-09T13:00:32.667,pdu8150252827,19天23时48分,0,普通,0,10,0,1,25,3,2016-11-06T13:58:13,0,1500.0000,1,0,0,2000-01-01T00:00:00,专科
0,0,12,,0,AA,0,0,0,0,3602.0000,,41668709,2017-04-09T13:00:06.863,0,0,2017-04-09T12:22:10.233,pdu4464575108,19天23时04分,0,,0,10,1,1,31,3,2016-10-13T13:32:32,0,5000.0000,1,0,0,2000-01-01T00:00:00,
0,0,7,,0,AA,0,0,0,0,4527.0000,,41673717,2017-04-09T13:01:56.89,0,0,2017-04-09T12:52:31.47,pdu3015137040,19天23时40分,0,,0,10,0,2,44,3,2017-04-09T11:44:46,0,5500.0000,1,0,0,2000-01-01T00:00:00,
0,0,1,,0,AA,0,0,0,0,0.0000,,41675106,2017-04-09T13:02:30.21,0,0,2017-04-09T13:02:30.21,pdu3823387146,2017/4/9,0,,0,11,0,2,31,6,2017-04-09T12:39:18,0,2500.0000,1,0,0,2017-04-09T13:02:30.747,
0,0,8,,0,AA,0,0,0,0,4118.0000,,41670665,2017-04-09T13:00:33.163,0,0,2017-04-09T12:33:21.593,pdu8436520781,19天23时18分,0,,0,10,0,2,33,3,2017-04-08T18:54:19,0,5000.0000,1,0,0,2000-01-01T00:00:00,
0,0,28,,0,AA,0,0,0,0,2502.0000,,41665286,2017-04-09T13:00:26.427,0,0,2017-04-09T12:01:36.15,pdu0687045383,19天22时42分,0,,0,10,0,1,28,3,2017-04-09T11:09:48,0,4500.0000,1,0,0,2000-01-01T00:00:00,
0,0,10,,0,AA,0,0,0,0,1901.0000,,41669179,2017-04-09T13:00:22.483,0,0,2017-04-09T12:41:50.56,pdu5536671458,19天23时06分,0,,0,10,1,1,29,3,2016-02-24T22:46:27,0,3000.0000,1,0,0,2000-01-01T00:00:00,
0,0,13,2016-12-10T07:00:13.2,650.0000,AA,0,0,6,0,3893.0000,,41669427,2017-04-09T13:00:31.197,9,0,2017-04-09T12:22:33.697,pdu8481836551,19天23时08分,0,,650.0000,10,0,2,22,3,2016-02-07T16:05:02,0,5000.0000,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,1700.0000,,41670119,2017-04-09T13:00:24.483,0,0,2017-04-09T12:50:54.477,pdu2034555344,19天23时13分,0,,0,10,0,1,44,3,2017-04-09T11:10:29,0,2500.0000,1,0,0,2000-01-01T00:00:00,
0,0,6,2017-03-27T18:37:48.887,750.0000,AA,0,0,1,0,4200.0000,,41673668,2017-04-09T13:01:57.57,1,0,2017-04-09T12:52:32.707,pdu5858660843,19天23时40分,0,,750.0000,10,1,1,23,3,2016-06-26T01:15:03,0,5000.0000,1,0,0,2000-01-01T00:00:00,
0,0,5,2016-06-09T07:37:40.237,5125.3000,C,1,0,4,0,0.0000,,41675199,2017-04-09T13:02:29.977,6,0,2017-04-09T13:02:28.947,pdu2365428624,2017/4/9,0,,4909.1400,20,0,1,35,6,2016-06-08T21:33:15,0,2000.0000,1,0,0,2017-04-09T13:02:30.467,
0,0,6,,0,AA,0,0,0,0,1950.0000,,41670672,2017-04-09T13:00:26.483,0,0,2017-04-09T12:51:18.22,pdu4423721338,19天23时18分,0,,0,10,0,1,22,3,2016-10-12T04:31:23,0,2750.0000,1,0,0,2000-01-01T00:00:00,
0,0,3,,0,AA,0,0,0,0,1820.0000,,41671948,2017-04-09T13:01:58.24,0,0,2017-04-09T13:01:46.77,pdu3025170317,19天23时25分,0,,0,10,0,1,32,3,2017-03-12T15:38:51,0,2500.0000,1,0,0,2000-01-01T00:00:00,
