videovalidate,failedcount,lendercount,firstsuccessborrowtime,owingamount,creditcode,creditvalidate,amounttoreceive,successcount,overduelesscount,remainfunding,graduateschool,listingid,lastbidtime,normalcount,certificatevalidate,fistbidtime,borrowname,deadlinetimeorremindtimestr,overduemorecount,studystyle,owingprincipal,currentrate,wastecount,gender,age,months,registertime,cancelcount,amount,phonevalidate,educatevalidate,nciicidentitycheck,auditingtime,educationdegree
0,0,549,2015-08-07T19:46:58.967,339110.84,AAA,0,1392112.18,110,1,10592,华北水利水电大学,41145052,2017-04-09T10:46:09.603,286,1,2017-04-07T09:58:42.633,Bin_Wu,1天10时51分,0,成人,332302.52,7.01,0,1,28,12,2013-02-19T15:35:01,52,50000,1,0,0,2000-01-01T00:00:00,专升本
0,0,283,2017-03-25T19:09:53.573,70778.34,AAA,0,249273.12,9,0,28828,,41145203,2017-04-09T10:41:15.673,1,0,2017-04-07T09:58:44.047,pdu1200501182,1天10时53分,0,,68193.07,7,0,1,33,12,2016-06-13T20:39:22,1,50000,1,0,0,2000-01-01T00:00:00,
0,0,316,2015-04-23T23:53:35.817,207614.94,AAA,0,577458.36,226,0,25988,,41148289,2017-04-09T10:42:01.817,590,0,2017-04-07T10:00:51.49,aiyehui,1天11时23分,0,,203692.69,7,0,2,45,12,2014-06-25T12:42:39,46,50000,1,0,0,2000-01-01T00:00:00,
0,1,446,2016-01-10T17:37:56.11,33243.2,AAA,0,645623.54,55,1,4679,华南师范大学增城学院,41153903,2017-04-09T10:49:32.78,206,1,2017-04-07T10:03:58.367,hongji90,1天12时27分,0,普通,32582.39,7.01,6,1,27,12,2013-06-16T23:52:51,6,50000,1,0,1,2000-01-01T00:00:00,本科
0,0,81,2015-07-10T22:52:42.463,5806.76,A,1,245.68,5,0,4032,昆明医学院,41656045,2017-04-09T10:49:53.85,27,1,2017-04-09T10:49:32.57,pdu60382208,14天23时51分,0,成人,5618.26,16,0,1,40,12,2015-07-10T22:48:22,0,10000,1,0,0,2000-01-01T00:00:00,专升本
0,0,5,2017-01-07T10:12:04.377,6548,AA,1,0,2,1,1323,哈尔滨华夏计算机职业技术学院,41655522,2017-04-09T10:48:33.757,2,1,2017-04-09T10:48:30.84,pdu31034555,14天23时47分,0,普通,5753.99,10,0,1,26,3,2015-05-11T17:34:40,0,1500,1,0,0,2000-01-01T00:00:00,专科
0,0,15,2016-03-19T23:00:12.59,9197.04,B,0,0,5,1,2830,,41657236,2017-04-09T10:49:52.747,27,0,2017-04-09T10:49:36.97,pdu6620134443,14天23时58分,0,,8307.36,18,0,2,36,12,2016-03-19T23:00:11,0,3790,1,0,0,2000-01-01T00:00:00,
0,0,11,2016-05-09T19:32:53.513,5144.9,AA,0,0,3,2,2672,,41650961,2017-04-09T10:43:37.523,12,0,2017-04-09T10:40:12.883,pdu5511821880,14天23时15分,0,,4719.78,10,1,1,31,3,2016-05-09T19:31:59,1,3398,1,0,0,2000-01-01T00:00:00,
0,0,14,2015-12-05T22:47:33.54,6316.09,AA,0,0,3,3,3108,,41653473,2017-04-09T10:43:38.38,13,0,2017-04-09T10:34:16.26,pdu8702043620,14天23时33分,0,,5867.8,10,0,1,40,3,2015-12-05T21:22:54,0,3818,1,0,0,2000-01-01T00:00:00,
0,0,1,2016-09-26T10:58:52.343,0,AA,0,0,1,0,2980,,41657179,2017-04-09T10:49:42.017,6,0,2017-04-09T10:49:42.017,pdu5702163076,14天23时57分,0,,0,10,0,1,29,3,2016-09-26T10:58:50,0,3000,1,0,0,2000-01-01T00:00:00,
