videovalidate,failedcount,lendercount,firstsuccessborrowtime,owingamount,creditcode,creditvalidate,amounttoreceive,successcount,overduelesscount,remainfunding,graduateschool,listingid,lastbidtime,normalcount,certificatevalidate,fistbidtime,borrowname,deadlinetimeorremindtimestr,overduemorecount,studystyle,owingprincipal,currentrate,wastecount,gender,age,months,registertime,cancelcount,amount,phonevalidate,educatevalidate,nciicidentitycheck,auditingtime,educationdegree
0,0,632,2015-08-07T19:46:58.967,335709.3000,AAA,0,1392112.1800,110,1,5831.0000,华北水利水电大学,41145052,2017-04-09T12:44:28.153,287,1,2017-04-07T09:58:42.633,Bin_Wu,1天08时55分,0,成人,329017.6400,7.01,0,1,28,12,2013-02-19T15:35:01,52,50000.0000,1,0,0,2000-01-01T00:00:00,专升本
0,0,290,2017-03-25T19:09:53.573,70778.3400,AAA,0,249273.1200,9,0,28456.0000,,41145203,2017-04-09T12:44:31.323,1,0,2017-04-07T09:58:44.047,pdu1200501182,1天08时57分,0,,68193.0700,7,0,1,33,12,2016-06-13T20:39:22,1,50000.0000,1,0,0,2000-01-01T00:00:00,
0,0,324,2015-04-23T23:53:35.817,207614.9400,AAA,0,577458.3600,226,0,25538.0000,,41148289,2017-04-09T12:44:30.62,590,0,2017-04-07T10:00:51.49,aiyehui,1天09时27分,0,,203692.6900,7,0,2,45,12,2014-06-25T12:42:39,46,50000.0000,1,0,0,2000-01-01T00:00:00,
0,0,10,2016-06-11T07:00:54.25,0.0000,AA,0,0,1,1,230.0000,,41671962,2017-04-09T12:46:05.853,1,0,2017-04-09T12:42:34.88,pdu6755557625,9天23时42分,0,,0.0000,10,2,1,25,3,2016-06-10T22:10:14,0,2400.0000,1,0,0,2000-01-01T00:00:00,
0,0,30,2015-07-17T10:22:31.823,19968.6600,B,0,0,7,0,883.0000,,41673886,2017-04-09T12:46:17.687,33,0,2017-04-09T12:45:23.633,pdu50251835,14天23时58分,0,,18805.1900,18,0,2,36,12,2015-07-17T10:17:04,0,3194.0000,1,0,0,2000-01-01T00:00:00,
0,0,9,2017-02-01T20:11:42.53,1136.3200,AA,0,0,1,0,440.0000,,41673441,2017-04-09T12:46:16.64,2,0,2017-04-09T12:43:12.37,pdu7128346217,14天23时54分,0,,1009.1000,10,1,1,23,3,2016-09-04T20:48:31,0,1990.0000,1,0,0,2000-01-01T00:00:00,
0,0,42,,0,B,0,0,0,0,4389.0000,桂林山水职业学院,41672031,2017-04-09T12:46:05.127,0,1,2017-04-09T12:42:27.557,pdu7455026765,19天23时42分,0,普通,0,18,0,2,30,12,2017-04-09T12:04:14,0,7000.0000,1,0,0,2000-01-01T00:00:00,专科
0,0,27,2017-04-06T14:53:04.23,1050.0000,AA,0,0,1,0,4019.0000,河北工程技术学院,41667494,2017-04-09T12:45:58.46,1,1,2017-04-09T12:30:59.387,pdu7533271066,19天23时12分,0,普通,1050.0000,10,1,1,26,3,2015-12-02T12:14:55,0,6000.0000,1,0,0,2000-01-01T00:00:00,专科
0,0,7,,0,AA,0,0,0,0,8942.0000,,41671672,2017-04-09T12:44:53.01,0,0,2017-04-09T12:42:22.777,pdu8114828831,19天23时40分,0,,0,10,0,2,29,3,2017-04-06T09:15:22,0,10000.0000,1,0,0,2000-01-01T00:00:00,
0,0,30,,0,AA,0,0,0,0,6688.0000,,41664469,2017-04-09T12:40:47.163,0,0,2017-04-09T11:50:25.11,pdu8528863765,19天22时52分,0,,0,10,0,1,39,3,2016-04-22T12:09:14,0,9500.0000,1,0,0,2000-01-01T00:00:00,
0,0,8,,0,AA,0,0,0,0,3018.0000,四川广播电视大学,41670546,2017-04-09T12:45:00.303,0,1,2017-04-09T12:31:47.81,pdu6242732266,19天23时33分,0,成人,0,10,0,1,26,3,2017-04-07T02:05:46,0,4000.0000,1,0,0,2000-01-01T00:00:00,专科
0,0,8,,0,AA,0,0,0,0,2116.0000,德州学院,41670059,2017-04-09T12:40:48.11,0,1,2017-04-09T12:33:09.237,pdu2576525404,19天23时29分,0,普通,0,10,0,2,25,3,2017-04-09T11:20:22,0,3000.0000,1,0,0,2000-01-01T00:00:00,本科
0,0,31,,0,AA,0,0,0,0,3070.0000,,41664982,2017-04-09T12:45:40.447,0,0,2017-04-09T11:52:56.3,pdu1643250760,19天22时56分,0,,0,10,0,1,29,3,2017-04-09T11:15:28,0,7000.0000,1,0,0,2000-01-01T00:00:00,
0,0,19,,0,AA,0,0,0,0,4979.0000,,41667156,2017-04-09T12:35:29.043,0,0,2017-04-09T12:11:40.737,pdu7033874753,19天23时09分,0,,0,10,1,1,33,3,2016-01-07T00:14:21,0,6500.0000,1,0,0,2000-01-01T00:00:00,
0,0,8,2017-01-31T19:20:45.377,1781.0000,AA,0,0,9,0,5668.0000,,41670273,2017-04-09T12:36:47.66,16,0,2017-04-09T12:31:27.917,pdu1818070077,19天23时31分,0,,1781.0000,10,2,1,27,3,2016-01-12T07:56:03,0,6500.0000,1,0,0,2000-01-01T00:00:00,
0,0,29,,0,AA,0,0,0,0,2605.0000,,41663907,2017-04-09T12:46:15.89,0,0,2017-04-09T11:52:06.447,pdu5847173722,19天22时48分,0,,0,10,0,1,30,3,2017-04-09T09:46:17,0,5500.0000,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,3268.0000,,41667787,2017-04-09T12:35:35.16,0,0,2017-04-09T12:33:08.447,pdu2260856100,19天23时14分,0,,0,10,0,1,23,3,2017-04-03T01:42:02,0,4000.0000,1,0,0,2000-01-01T00:00:00,
0,0,26,,0,AA,0,0,0,0,3519.0000,,41664248,2017-04-09T12:40:40.243,0,0,2017-04-09T11:52:16.87,pdu0777245083,19天22时50分,0,,0,10,0,1,43,3,2016-02-18T09:42:23,0,5500.0000,1,0,0,2000-01-01T00:00:00,
