videovalidate,failedcount,lendercount,firstsuccessborrowtime,owingamount,creditcode,creditvalidate,amounttoreceive,successcount,overduelesscount,remainfunding,graduateschool,listingid,lastbidtime,normalcount,certificatevalidate,fistbidtime,borrowname,deadlinetimeorremindtimestr,overduemorecount,studystyle,owingprincipal,currentrate,wastecount,gender,age,months,registertime,cancelcount,amount,phonevalidate,educatevalidate,nciicidentitycheck,auditingtime,educationdegree
0,0,552,2015-08-07T19:46:58.967,339110.8400,AAA,0,1392112.1800,110,1,10452.0000,华北水利水电大学,41145052,2017-04-09T11:26:18.257,286,1,2017-04-07T09:58:42.633,Bin_Wu,1天10时15分,0,成人,332302.5200,7.01,0,1,28,12,2013-02-19T15:35:01,52,50000.0000,1,0,0,2000-01-01T00:00:00,专升本
0,0,283,2017-03-25T19:09:53.573,70778.3400,AAA,0,249273.1200,9,0,28828.0000,,41145203,2017-04-09T10:41:15.673,1,0,2017-04-07T09:58:44.047,pdu1200501182,1天10时16分,0,,68193.0700,7,0,1,33,12,2016-06-13T20:39:22,1,50000.0000,1,0,0,2000-01-01T00:00:00,
0,0,317,2015-04-23T23:53:35.817,207614.9400,AAA,0,577458.3600,226,0,25938.0000,,41148289,2017-04-09T11:25:35.477,590,0,2017-04-07T10:00:51.49,aiyehui,1天10时46分,0,,203692.6900,7,0,2,45,12,2014-06-25T12:42:39,46,50000.0000,1,0,0,2000-01-01T00:00:00,
0,1,521,2016-01-10T17:37:56.11,33243.2000,AAA,0,645623.5400,55,1,107.0000,华南师范大学增城学院,41153903,2017-04-09T11:26:17.443,206,1,2017-04-07T10:03:58.367,hongji90,1天11时50分,0,普通,32582.3900,7.01,6,1,27,12,2013-06-16T23:52:51,6,50000.0000,1,0,1,2000-01-01T00:00:00,本科
0,0,8,,0,AA,0,0,0,0,2030.0000,,41643341,2017-04-09T11:26:22.19,0,0,2017-04-09T11:23:40.247,pdu0242213015,9天21时37分,0,,0,10,1,1,22,3,2016-11-03T13:25:44,1,2500.0000,1,0,0,2000-01-01T00:00:00,
0,0,14,,0,AA,0,0,0,0,1687.0000,,41648805,2017-04-09T11:24:28.4,0,0,2017-04-09T11:20:53.967,pdu8853441238,9天22时22分,0,,0,10,0,1,39,3,2017-03-18T17:18:01,0,2700.0000,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,2830.0000,,41654772,2017-04-09T11:26:20.617,0,0,2017-04-09T11:26:08.467,pdu2758812161,9天23时05分,0,,0,10,0,1,20,3,2017-04-04T09:05:08,0,3200.0000,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,3630.0000,,41657304,2017-04-09T11:26:21.847,0,0,2017-04-09T11:26:09.177,pdu6736307074,9天23时22分,0,,0,10,0,2,36,3,2017-04-09T04:50:09,0,4000.0000,1,0,0,2000-01-01T00:00:00,
0,0,10,,0,AA,0,0,0,0,2980.0000,,41658023,2017-04-09T11:25:52.353,0,0,2017-04-09T11:21:32.647,pdu2312271307,9天23时27分,0,,0,10,0,1,39,3,2017-04-08T16:15:48,0,4000.0000,1,0,0,2000-01-01T00:00:00,
0,0,93,2016-04-27T14:07:55.993,0.0000,A,1,0,7,0,7683.0000,贵州财经大学,41662062,2017-04-09T11:26:26.993,29,1,2017-04-09T11:24:58.77,pdu0432115456,14天23时56分,0,成人,0.0000,16,0,2,27,12,2016-04-27T14:07:05,0,15000.0000,1,0,0,2000-01-01T00:00:00,本科
0,0,54,2016-04-29T18:33:00.013,6199.0500,B,0,0,3,7,1469.0000,广东财经大学,41661741,2017-04-09T11:26:26.99,9,1,2017-04-09T11:23:52.343,pdu1571502006,14天23时53分,0,自考,5629.2800,18,0,2,25,12,2016-04-29T18:12:15,0,6370.0000,1,0,0,2000-01-01T00:00:00,本科
0,0,10,2016-12-10T08:34:53.54,4464.4500,AA,0,0,1,1,1129.0000,,41661026,2017-04-09T11:24:35.49,2,0,2017-04-09T11:15:29.583,pdu0534454783,14天23时48分,0,,4081.2600,10,0,2,22,3,2016-12-10T08:28:48,0,1639.0000,1,0,0,2000-01-01T00:00:00,
0,1,21,2015-11-14T12:10:22.737,786.1800,AA,0,0,4,9,120.0000,第五冶金建设公司职工大学,41661768,2017-04-09T11:26:29.663,25,1,2017-04-09T11:23:59.86,pdu1822703610,14天23时54分,0,成人,765.1100,10,3,1,31,3,2015-11-14T12:08:24,0,2000.0000,1,0,1,2000-01-01T00:00:00,专科
