videovalidate,failedcount,lendercount,firstsuccessborrowtime,owingamount,creditcode,creditvalidate,amounttoreceive,successcount,overduelesscount,remainfunding,graduateschool,listingid,lastbidtime,normalcount,certificatevalidate,fistbidtime,borrowname,deadlinetimeorremindtimestr,overduemorecount,studystyle,owingprincipal,currentrate,wastecount,gender,age,months,registertime,cancelcount,amount,phonevalidate,educatevalidate,nciicidentitycheck,auditingtime,educationdegree
0,0,9,2016-08-26T17:01:49.15,8592.91,D,0,0,3,0,0,,32819531,2017-01-30T22:48:08.473,9,0,2017-01-30T22:48:02.22,pdu3724824046,2017/1/30,0,,7858,22,0,1,27,12,2016-08-26T16:53:47,0,3440,1,0,0,2017-01-30T22:48:10.73,
1,3,140,2011-03-31T19:34:36.737,138882.4,AAA,0,850315.15,336,72,23256,,40958684,2017-04-07T23:25:51.283,1692,0,2017-04-05T16:08:09.757,zggdjllyd,1天16时56分,0,,135243.09,7,17,1,46,12,2009-02-17T14:30:43,21,34406,1,0,1,2000-01-01T00:00:00,
0,0,178,2016-03-10T01:20:33.413,424696.72,AAA,0,1002847.87,137,0,8772,北京圆明园专修学院,40998758,2017-04-07T23:22:16.58,634,1,2017-04-04T23:00:20.163,pdu6314373634,1天23时15分,0,自考,414788.59,7,7,1,33,12,2015-11-25T01:46:26,22,24800,1,0,0,2000-01-01T00:00:00,专科
0,0,166,2015-03-18T22:23:53.407,388700.95,AAA,0,1413914.07,199,0,9235,,41032600,2017-04-07T23:22:17.293,617,0,2017-04-05T14:14:14.373,pdu31240330,2天10时04分,0,,379051.15,7,25,1,43,12,2015-03-01T22:33:58,8,24000,1,0,0,2000-01-01T00:00:00,
0,0,145,2015-02-28T12:17:18.3,27037.8,AAA,0,133056.6,144,0,15372,,41053311,2017-04-07T23:22:13.543,809,0,2017-04-05T14:14:12.267,wutiangang2006,2天12时18分,0,,26414.57,7,19,1,28,12,2014-08-25T10:18:33,8,27960,1,0,0,2000-01-01T00:00:00,
